 .eslintrc.js                                                                                                                |    87 +++++++++++++++++++++++++++++++++++++++----------------------------------------
 accessible/jsat/AccessFu.jsm                                                                                                |    75 +++++++++++++++++++++++++++++++++------------------------------------
 accessible/jsat/Constants.jsm                                                                                               |    66 +++++++++++++++++++++++++-----------------------------------
 accessible/jsat/ContentControl.jsm                                                                                          |   143 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------
 accessible/jsat/EventManager.jsm                                                                                            |    98 ++++++++++++++++++++++++++++++++++++++++-------------------------------------------------
 accessible/jsat/Traversal.jsm                                                                                               |   442 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/jsat/Utils.jsm                                                                                                   |   329 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/jsat/content-script.js                                                                                           |    15 +++++---------
 accessible/tests/browser/.eslintrc.js                                                                                       |    34 +++++++++++++++----------------
 accessible/tests/browser/bounds/browser_test_resolution.js                                                                  |    10 +++++-----
 accessible/tests/browser/bounds/browser_test_zoom.js                                                                        |     6 +++---
 accessible/tests/browser/bounds/browser_test_zoom_text.js                                                                   |    15 +++++++-------
 accessible/tests/browser/bounds/head.js                                                                                     |     7 ++-----
 accessible/tests/browser/browser_shutdown_acc_reference.js                                                                  |     7 +++----
 accessible/tests/browser/browser_shutdown_doc_acc_reference.js                                                              |     7 +++----
 accessible/tests/browser/browser_shutdown_multi_acc_reference_doc.js                                                        |     7 +++----
 accessible/tests/browser/browser_shutdown_multi_acc_reference_obj.js                                                        |     7 +++----
 accessible/tests/browser/browser_shutdown_multi_proxy_acc_reference_doc.js                                                  |    91 ++++++++++++++++++++++++++++++++++++++++++-----------------------------------------
 accessible/tests/browser/browser_shutdown_multi_proxy_acc_reference_obj.js                                                  |    91 ++++++++++++++++++++++++++++++++++++++++++-----------------------------------------
 accessible/tests/browser/browser_shutdown_multi_reference.js                                                                |    10 ++++------
 accessible/tests/browser/browser_shutdown_parent_own_reference.js                                                           |    98 +++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------
 accessible/tests/browser/browser_shutdown_pref.js                                                                           |     9 +++------
 accessible/tests/browser/browser_shutdown_proxy_acc_reference.js                                                            |    72 ++++++++++++++++++++++++++++++++++--------------------------------
 accessible/tests/browser/browser_shutdown_proxy_doc_acc_reference.js                                                        |    71 +++++++++++++++++++++++++++++++++--------------------------------
 accessible/tests/browser/browser_shutdown_remote_no_reference.js                                                            |   130 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------
 accessible/tests/browser/browser_shutdown_remote_only.js                                                                    |    44 ++++++++++++++++++++++------------------
 accessible/tests/browser/browser_shutdown_remote_own_reference.js                                                           |   187 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------
 accessible/tests/browser/browser_shutdown_scope_lifecycle.js                                                                |     3 +--
 accessible/tests/browser/browser_shutdown_start_restart.js                                                                  |     6 ++----
 accessible/tests/browser/e10s/browser_caching_attributes.js                                                                 |   112 +++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------
 accessible/tests/browser/e10s/browser_caching_description.js                                                                |   258 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_caching_name.js                                                                       |   288 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_caching_relations.js                                                                  |    40 +++++++++++++++++++++----------------
 accessible/tests/browser/e10s/browser_caching_states.js                                                                     |   147 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------
 accessible/tests/browser/e10s/browser_caching_value.js                                                                      |   207 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_events_announcement.js                                                                |    31 ++++++++++++++---------------
 accessible/tests/browser/e10s/browser_events_caretmove.js                                                                   |     3 +--
 accessible/tests/browser/e10s/browser_events_hide.js                                                                        |    12 +++++------
 accessible/tests/browser/e10s/browser_events_show.js                                                                        |    14 ++++++-------
 accessible/tests/browser/e10s/browser_events_statechange.js                                                                 |    57 ++++++++++++++++++++++++++--------------------------
 accessible/tests/browser/e10s/browser_events_textchange.js                                                                  |    50 ++++++++++++++++++++++------------------------
 accessible/tests/browser/e10s/browser_events_vcchange.js                                                                    |    15 +++++++-------
 accessible/tests/browser/e10s/browser_treeupdate_ariadialog.js                                                              |     4 ++--
 accessible/tests/browser/e10s/browser_treeupdate_ariaowns.js                                                                |   126 ++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_canvas.js                                                                  |    23 +++++++++++----------
 accessible/tests/browser/e10s/browser_treeupdate_cssoverflow.js                                                             |   116 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_doc.js                                                                     |   502 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_gencontent.js                                                              |    56 ++++++++++++++++++++++++++++++++-------------------
 accessible/tests/browser/e10s/browser_treeupdate_hidden.js                                                                  |    21 ++++++++++----------
 accessible/tests/browser/e10s/browser_treeupdate_imagemap.js                                                                |    66 ++++++++++++++++++++++--------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_list.js                                                                    |    56 ++++++++++++++++++++++++++++-----------------------
 accessible/tests/browser/e10s/browser_treeupdate_list_editabledoc.js                                                        |    15 +++++++-------
 accessible/tests/browser/e10s/browser_treeupdate_listener.js                                                                |    30 ++++++++++++----------------
 accessible/tests/browser/e10s/browser_treeupdate_optgroup.js                                                                |    47 +++++++++++++++++++++++--------------------
 accessible/tests/browser/e10s/browser_treeupdate_removal.js                                                                 |    28 ++++++++++----------------
