 .eslintrc.js                                                                                                                |    89 +++++++++++++++++++++++++++++++++--------------------------------
 accessible/jsat/AccessFu.jsm                                                                                                |   187 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------
 accessible/jsat/Constants.jsm                                                                                               |    78 ++++++++++++++++++++++++++++-----------------------------
 accessible/jsat/ContentControl.jsm                                                                                          |   293 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------
 accessible/jsat/EventManager.jsm                                                                                            |   164 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------
 accessible/jsat/Traversal.jsm                                                                                               |   495 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/jsat/Utils.jsm                                                                                                   |   524 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/jsat/content-script.js                                                                                           |    47 ++++++++++++++++++++++------------
 accessible/tests/browser/.eslintrc.js                                                                                       |   192 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------
 accessible/tests/browser/bounds/browser_test_resolution.js                                                                  |    39 ++++++++++++++++-------------
 accessible/tests/browser/bounds/browser_test_zoom.js                                                                        |    31 +++++++++++++----------
 accessible/tests/browser/bounds/browser_test_zoom_text.js                                                                   |    45 ++++++++++++++++++++++-----------
 accessible/tests/browser/bounds/head.js                                                                                     |    20 ++++++++++-----
 accessible/tests/browser/browser_shutdown_acc_reference.js                                                                  |    23 ++++++++++-------
 accessible/tests/browser/browser_shutdown_doc_acc_reference.js                                                              |    23 ++++++++++-------
 accessible/tests/browser/browser_shutdown_multi_acc_reference_doc.js                                                        |    27 ++++++++++++--------
 accessible/tests/browser/browser_shutdown_multi_acc_reference_obj.js                                                        |    27 ++++++++++++--------
 accessible/tests/browser/browser_shutdown_multi_proxy_acc_reference_doc.js                                                  |   102 ++++++++++++++++++++++++++++++++++++++++----------------------------------
 accessible/tests/browser/browser_shutdown_multi_proxy_acc_reference_obj.js                                                  |   102 ++++++++++++++++++++++++++++++++++++++++----------------------------------
 accessible/tests/browser/browser_shutdown_multi_reference.js                                                                |    32 ++++++++++++++----------
 accessible/tests/browser/browser_shutdown_parent_own_reference.js                                                           |   118 ++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------
