 .eslintrc.js                                                                                                                |    89 +++++++++++++++++++++++++++++++++--------------------------------
 accessible/jsat/AccessFu.jsm                                                                                                |   105 ++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------
 accessible/jsat/Constants.jsm                                                                                               |    76 +++++++++++++++++++++++++++----------------------------
 accessible/jsat/ContentControl.jsm                                                                                          |   229 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------
 accessible/jsat/EventManager.jsm                                                                                            |   136 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------
 accessible/jsat/Traversal.jsm                                                                                               |   467 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/jsat/Utils.jsm                                                                                                   |   412 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------------------------------------------------------
 accessible/jsat/content-script.js                                                                                           |    35 ++++++++++++++++++--------
 accessible/tests/browser/.eslintrc.js                                                                                       |    38 +++++++++++++---------------
 accessible/tests/browser/bounds/browser_test_resolution.js                                                                  |    15 +++++++----
 accessible/tests/browser/bounds/browser_test_zoom.js                                                                        |    11 +++++---
 accessible/tests/browser/bounds/browser_test_zoom_text.js                                                                   |    33 ++++++++++++++++++------
 accessible/tests/browser/bounds/head.js                                                                                     |    16 +++++++++---
 accessible/tests/browser/browser_shutdown_acc_reference.js                                                                  |    11 +++++---
 accessible/tests/browser/browser_shutdown_doc_acc_reference.js                                                              |    11 +++++---
 accessible/tests/browser/browser_shutdown_multi_acc_reference_doc.js                                                        |    11 +++++---
 accessible/tests/browser/browser_shutdown_multi_acc_reference_obj.js                                                        |    11 +++++---
 accessible/tests/browser/browser_shutdown_multi_proxy_acc_reference_doc.js                                                  |    98 +++++++++++++++++++++++++++++++++++++++--------------------------------
 accessible/tests/browser/browser_shutdown_multi_proxy_acc_reference_obj.js                                                  |    98 +++++++++++++++++++++++++++++++++++++++--------------------------------
 accessible/tests/browser/browser_shutdown_multi_reference.js                                                                |    14 ++++++++---
 accessible/tests/browser/browser_shutdown_parent_own_reference.js                                                           |   118 ++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------
 accessible/tests/browser/browser_shutdown_pref.js                                                                           |    19 ++++++++++----
 accessible/tests/browser/browser_shutdown_proxy_acc_reference.js                                                            |    78 +++++++++++++++++++++++++++++++--------------------------
 accessible/tests/browser/browser_shutdown_proxy_doc_acc_reference.js                                                        |    78 ++++++++++++++++++++++++++++++++-------------------------
 accessible/tests/browser/browser_shutdown_remote_no_reference.js                                                            |   148 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------
 accessible/tests/browser/browser_shutdown_remote_only.js                                                                    |    49 +++++++++++++++++++++---------------
 accessible/tests/browser/browser_shutdown_remote_own_reference.js                                                           |   225 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------------------------------
 accessible/tests/browser/browser_shutdown_scope_lifecycle.js                                                                |     3 ++-
 accessible/tests/browser/browser_shutdown_start_restart.js                                                                  |     6 +++--
 accessible/tests/browser/e10s/browser_caching_attributes.js                                                                 |   123 ++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------
 accessible/tests/browser/e10s/browser_caching_description.js                                                                |   276 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_caching_name.js                                                                       |   354 +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_caching_relations.js                                                                  |    50 +++++++++++++++++++++++--------------
 accessible/tests/browser/e10s/browser_caching_states.js                                                                     |   160 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------
 accessible/tests/browser/e10s/browser_caching_value.js                                                                      |   208 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------
 accessible/tests/browser/e10s/browser_events_announcement.js                                                                |    35 ++++++++++++++------------
 accessible/tests/browser/e10s/browser_events_caretmove.js                                                                   |     7 +++---
 accessible/tests/browser/e10s/browser_events_hide.js                                                                        |    24 ++++++++++++------
 accessible/tests/browser/e10s/browser_events_show.js                                                                        |    12 ++++++---
 accessible/tests/browser/e10s/browser_events_statechange.js                                                                 |    65 ++++++++++++++++++++++++++---------------------
 accessible/tests/browser/e10s/browser_events_textchange.js                                                                  |    98 +++++++++++++++++++++++++++++++++++++++++++++++------------------------
 accessible/tests/browser/e10s/browser_events_vcchange.js                                                                    |    24 ++++++++++++------
 accessible/tests/browser/e10s/browser_treeupdate_ariadialog.js                                                              |    19 ++++++++------
 accessible/tests/browser/e10s/browser_treeupdate_ariaowns.js                                                                |   158 +++++++++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_canvas.js                                                                  |    23 +++++++++--------
 accessible/tests/browser/e10s/browser_treeupdate_cssoverflow.js                                                             |   116 ++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_doc.js                                                                     |   519 ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 accessible/tests/browser/e10s/browser_treeupdate_gencontent.js                                                              |    60 ++++++++++++++++++++++++++++----------------
 accessible/tests/browser/e10s/browser_treeupdate_hidden.js                                                                  |    12 +++++----
